file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
334019.pdf,334,ok,60528,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2.2,2006-06-27,9,5,,False,True,True,0,0,0,0
334020.pdf,334,ok,141674,Adobe Acrobat 6.0.2 Paper Capture,FUJITSU fi-4340Cd,2005-06-27,0,,,False,True,True,0,0,0,0
334021.pdf,334,ok,17778,Acrobat Distiller 4.05 for Windows,,2000-06-28,4,938,,False,True,True,0,2,0,2
334023.pdf,334,ok,192463,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2006-02-24,19,1,,False,True,True,0,0,0,0
334024.pdf,334,ok,310698,Acrobat Distiller 5.0.5 (Windows),AdobePS5.dll Version 5.2.2,2005-09-20,2,432,,False,True,True,0,2,0,2
334025.pdf,334,ok,44611,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2.2,2008-04-10,2,7,,False,True,True,0,0,0,0
202753.pdf,202,ok,563634,Acrobat Distiller 5.0 (Windows),,2007-07-27,0,,,False,True,True,0,0,0,0
202754.pdf,202,ok,2165988,Adobe Acrobat 8.1 Paper Capture Plug-in,WIA-hp scanjet 5590,2007-10-03,0,,,False,True,True,0,0,0,0
202755.pdf,202,ok,595055,AFPL Ghostscript 8.13,dvips(k) 5.92b Copyright 2002 Radical Eye Software,2007-04-30,2,1,,False,False,True,0,0,0,0
202756.pdf,202,ok,348988,Acrobat Distiller 5.0.5 (Windows),Acrobat PDFMaker 5.0 for Word,2005-02-01,0,,,False,True,True,0,0,0,0
202757.pdf,202,ok,802530,Acrobat Distiller 4.05 for Sparc Solaris,,2006-04-13,3,185,,False,True,True,0,2,0,2
202758.pdf,202,ok,49921,Acrobat Distiller Command 3.0 for Solaris 2.3 and later (SPARC),,,3,,,False,True,True,0,0,0,0
202759.pdf,202,ok,239226,Acrobat Distiller 4.05 for Windows,Elsevier Science,2003-05-27,0,,,False,True,True,0,0,0,0
202760.pdf,202,ok,1002644,pdfTeX-1.10b,LaTeX with beamer class version 3.01,2005-10-27,1,0,,False,False,True,0,0,0,0
202761.pdf,202,ok,100991,Acrobat Distiller 3.01 for Windows,Windows NT 4.0,,0,,,False,True,True,0,0,0,0
202762.pdf,202,ok,140031,AFPL Ghostscript CVS PRE-RELEASE 7.10,dvips(k) 5.86 Copyright 1999 Radical Eye Software,2002-01-08,3,1,,False,False,True,0,0,0,0
202763.pdf,202,ok,264032,Adobe PDF Library 7.0,Adobe InDesign CS2 (4.0.2),2006-07-18,0,,,False,False,True,0,0,0,0
202764.pdf,202,ok,3907663,Acrobat Distiller 5.0 (Windows),Acrobat PDFMaker 5.0 for Word,2004-01-07,0,,,False,True,True,0,0,0,0
202765.pdf,202,ok,303147,Adobe PDF Library 5.0,Adobe InDesign 2.0.2,2005-08-11,0,,,False,False,True,0,0,0,0
202766.pdf,202,ok,2217677,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2.2,2008-05-09,0,,,False,True,True,0,0,0,0
202767.pdf,202,ok,312107,Acrobat Distiller 6.0 (Windows),dvips(k) 5.86 Copyright 1999 Radical Eye Software,2003-11-20,0,,,False,True,True,0,0,0,0
202768.pdf,202,ok,166439,Acrobat Distiller Command 3.0 for Solaris 2.3 and later (SPARC),"dvips 5.54 Copyright 1986, 1994 Radical Eye Software",1998-06-24,5,1,,False,True,True,0,0,0,0
202769.pdf,202,ok,575881,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2,2006-02-23,1,51,,False,True,True,0,2,0,2
202770.pdf,202,ok,1133921,dvips + ESP Ghostscript 815.02,LaTeX with beamer class version 3.06,2007-04-27,1,2,,False,False,True,0,0,0,0
202771.pdf,202,ok,285165,Acrobat Distiller 5.0.5 (Windows),Acrobat PDFMaker 5.0 for PowerPoint,2004-04-19,0,,,False,True,True,0,0,0,0
202772.pdf,202,ok,2779282,Mac OS X 10.4.10 Quartz PDFContext,Apple Keynote 3.0.2,2007-10-08,0,,,False,False,True,0,0,0,0
334108.pdf,334,ok,1461566, , ,,0,,,False,False,True,0,0,0,0
334115.pdf,334,ok,41525,Acrobat PDFWriter 4.0 for Windows NT,Adobe PageMaker 7.0 - [G:\Knowledge-Tst-Info\Rigger\FAA-G-8082-15A.pmd],2003-10-15,1,1,,False,True,True,0,0,0,0
334120.pdf,334,ok,529759,Acrobat Distiller 4.05 for Macintosh,Pscript.dll Version 5.0,2002-10-03,0,,,False,True,True,0,0,0,0
334123.pdf,334,ok,150385,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2008-04-24,0,,,False,True,True,0,0,0,0
334130.pdf,334,ok,43768,Acrobat Distiller 7.0 (Windows),Acrobat PDFMaker 7.0 for Word,2006-09-25,24,1,,False,True,True,0,0,0,0
334131.pdf,334,ok,56733,Acrobat Distiller 5.0.5 (Windows),ACOMP.exe   WinVer 1c15  Aug 31 2005,2008-09-19,14,1,,False,True,True,0,0,0,0
334132.pdf,334,ok,56437,Acrobat Distiller 4.0 for Windows,ACOMP.exe   WinVer 1c15  Aug 31 2005,2007-09-25,15,1,,False,True,True,0,0,0,0
334133.pdf,334,ok,484287,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2006-09-29,2,12,,False,True,True,0,0,0,0
334134.pdf,334,ok,43367,Acrobat Distiller 4.0 for Windows,,2003-09-16,41,26,,False,True,True,0,0,0,0
334135.pdf,334,ok,28742,Acrobat Distiller 4.0 for Windows,,2003-09-16,8,0,,False,True,True,0,0,0,0
334136.pdf,334,ok,108561,Acrobat Distiller 7.0 (Windows),Acrobat PDFMaker 7.0 for Word,2006-10-30,14,20,,False,True,True,0,0,0,0
334137.pdf,334,ok,2537371,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2,2008-12-09,2,20,,False,True,True,0,0,0,0
334138.pdf,334,ok,15913,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2008-10-09,1,5,,False,True,True,0,0,0,0
334139.pdf,334,ok,19212,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2008-10-16,1,5,,False,True,True,0,0,0,0
334140.pdf,334,ok,43612,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2005-06-14,0,,,False,True,True,0,0,0,0
334141.pdf,334,ok,2532532,Acrobat Distiller 4.05 for Windows,Microsoft Word 9.0,2004-07-29,1,1,,False,True,True,0,0,0,0
334142.pdf,334,ok,1637370,Acrobat Distiller 5.0.5 for Macintosh,QuarkXPress(tm) 5.01,2003-06-11,1,1350,,False,True,True,0,2,0,2
334143.pdf,334,ok,125484,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.5 for Excel,2006-12-19,1,6,invoice:amount due,True,True,True,2,0,1,3
334144.pdf,334,ok,2052346,"Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>. ",,2003-07-15,3,1,,False,False,True,0,0,0,0
334145.pdf,334,ok,124235,Acrobat Distiller 3.01 for Windows,ACOMP.exe V010   15-DEC-99,1999-12-27,14,7,,False,True,True,0,0,0,0
202497.pdf,202,ok,2744623,GNU Ghostscript 7.07,,,5,,,False,False,True,0,0,0,0
202501.pdf,202,ok,258071,GPL Ghostscript 8.61,PDFCreator Version 0.9.5,2009-02-18,20,203,,False,False,True,0,2,0,2
202503.pdf,202,ok,21798,Acrobat Net Distiller 1.0 for Windows,,1999-12-13,11,407,,False,True,True,0,2,0,2
202505.pdf,202,ok,192115,JAWS PDFLib,activePDF Server,2005-03-22,11,7,,False,False,True,0,0,0,0
202518.pdf,202,ok,42162,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Excel,2007-03-30,0,,,False,True,True,0,0,0,0
