producer,files,share_%
EO.Pdf 20.2.63.0,2764,0.0348
OmniPageCSDK18,2758,0.0348
LibreOffice 4.3,2757,0.0348
Microsoft® Word pro Microsoft 365,2749,0.0347
dvips + GPL Ghostscript GIT PRERELEASE 9.22,2747,0.0346
GPL Ghostscript 9.01,2746,0.0346
ABBYY FineReader 14,2744,0.0346
Apache FOP Version 1.0,2734,0.0345
PDFCreator Free 3.5.1,2729,0.0344
macOS Version 10.15.4 (Build 19E287) Quartz PDFContext,2716,0.0342
Adobe Acrobat 8.1,2715,0.0342
Power PDF Create,2680,0.0338
Adobe Acrobat 21.1 Image Conversion Plug-in,2675,0.0337
Adobe PDF Scan Library 3.2,2663,0.0336
Qt 5.5.1,2658,0.0335
Acrobat Distiller 9.3.0 (Windows),2643,0.0333
eDocument Library version 2.6 PDF Filter,2633,0.0332
mPDF 8.0.7,2606,0.0329
Lexmark X860de,2605,0.0328
iText 2.1.0 (by lowagie.com),2603,0.0328
Adobe PDF Library 19.8.103,2573,0.0324
Skia/PDF m63,2571,0.0324
Adobe Acrobat 9.3 Image Conversion Plug-in,2557,0.0322
PDF Printer / www.bullzip.com / CP / Freeware Edition,2552,0.0322
"Marvell Semiconductor, Inc.  -- http://www.marvell.com",2548,0.0321
dompdf <75f13c70> + CPDF,2542,0.032
OpenOffice.org 3.1,2525,0.0318
macOS Version 10.15.7 (Build 19H114) Quartz PDFContext,2523,0.0318
Acrobat Distiller 8.1.0 (Macintosh),2510,0.0316
macOS Version 10.15.3 (Build 19D76) Quartz PDFContext,2499,0.0315
Antenna House PDF Output Library 6.5.1299 (Windows (x64)); modified using iTextS,2495,0.0315
LibreOffice 5.4,2467,0.0311
GPL Ghostscript 9.25,2462,0.031
EXP Systems LLC (www.exp-systems.com),2454,0.0309
Adobe PDF Library 20.6.66,2452,0.0309
libtiff / tiff2pdf - 20120922,2447,0.0308
iText 4.2.0 by 1T3XT,2425,0.0306
Adobe Acrobat Pro DC (32-bit) 21.5.20048,2418,0.0305
macOS Version 10.15.7 (Build 19H15) Quartz PDFContext,2399,0.0302
West Corporation using ABCpdf,2380,0.03
Mac OS X 10.13.3 Quartz PDFContext,2363,0.0298
Microsoft® Word Starter 2010,2353,0.0297
mPDF 8.0.11,2330,0.0294
Acrobat Distiller 9.0.0 (Macintosh),2308,0.0291
macOS Version 10.14.6 (Build 18G8022) Quartz PDFContext,2307,0.0291
LibreOffice 5.3,2292,0.0289
mPDF 5.7.4,2292,0.0289
pdfTeX-1.40.3,2286,0.0288
Acrobat Distiller 6.0.1 for Macintosh,2286,0.0288
Acrobat Distiller 3.01 for Windows,2277,0.0287
Skia/PDF m86,2276,0.0287
PDFlib+PDI 6.0.0p2 (Win32),2260,0.0285
pdfTeX-1.40.15,2254,0.0284
PDFCreator 2.2.2.0,2251,0.0284
Skia/PDF m80,2243,0.0283
Adobe Acrobat 7.0 Image Conversion Plug-in,2233,0.0281
Adobe Acrobat 9.55 Paper Capture Plug-in,2231,0.0281
pdfTeX-1.40.10,2224,0.028
pdfTeX-1.40.12,2210,0.0279
deskPDF 2.58,2210,0.0279
Microsoft® Excel® für Microsoft 365,2207,0.0278
OpenOffice 4.1.6,2200,0.0277
Acrobat Distiller 3.0 for Windows,2179,0.0275
GPL Ghostscript 9.19,2171,0.0274
PDFCreator 3.2.0.11758,2160,0.0272
Adobe PDF Library 21.1.167,2158,0.0272
Microsoft® PowerPoint® para Microsoft 365,2157,0.0272
iText 2.0.8 (by lowagie.com),2145,0.027
Acrobat Distiller 10.1.5 (Windows),2119,0.0267
macOS Version 11.3 (Build 20E232) Quartz PDFContext,2112,0.0266
LibreOffice 5.0,2109,0.0266
Acrobat Distiller 10.1.10 (Windows),2094,0.0264
Adobe Acrobat Pro 11.0.23,2092,0.0264
Synopse PDF engine 1.18,2090,0.0263
TCPDF 6.3.2 (http://www.tcpdf.org),2073,0.0261
Toolkit http://www.activepdf.com,2063,0.026
PDFsharp 1.50.4740 (www.pdfsharp.com),2059,0.026
Microsoft® Word per Office 365,2057,0.0259
mPDF 8.0.4,2056,0.0259
GPL Ghostscript 9.18,2055,0.0259
FPDF 1.52,2050,0.0258
Winnovative HTML to PDF Converter 9.12,2048,0.0258
mPDF 8.0.5,2048,0.0258
Acrobat Distiller 8.0.0 (Macintosh),2044,0.0258
Mac OS X 10.11.3 Quartz PDFContext,2036,0.0257
Microsoft® PowerPoint® pour Microsoft 365,2028,0.0256
Select.Pdf Html To Pdf for .NET Community Edition v17.3.0,2015,0.0254
KONICA MINOLTA bizhub C308,2013,0.0254
Mac OS X 10.10.3 Quartz PDFContext,2012,0.0254
PDFlib+PDI 7.0.1 (Linux-x86_64),2008,0.0253
Mac OS X 10.10.2 Quartz PDFContext,1996,0.0252
Adobe PDF Library 4.0,1992,0.0251
LibreOffice 5.2,1986,0.025
Adobe Acrobat Pro DC 20 Paper Capture Plug-in,1981,0.025
Acrobat Distiller 8.3.1 (Windows),1976,0.0249
OpenOffice.org 3.0,1974,0.0249
Mac OS X 10.12.5 Quartz PDFContext,1968,0.0248
Microsoft Reporting Services PDF Rendering Extension 11.0.0.0,1964,0.0248
AFPL Ghostscript 8.13,1956,0.0247
dompdf + CPDF,1955,0.0246
Adobe Acrobat 6.0 Image Conversion Plug-in,1945,0.0245
Adobe PDF Library 19.10.96,1942,0.0245
Adobe Acrobat Pro 11.0.23 Paper Capture Plug-in,1930,0.0243
KONICA MINOLTA bizhub C458,1928,0.0243
Mac OS X 10.3.9 Quartz PDFContext,1924,0.0243
iText 1.4.8 (by lowagie.com),1919,0.0242
Corel PDF Engine Version 15.2.0.686,1918,0.0242
Acrobat Distiller 7.0 for Macintosh,1916,0.0242
PyPDF2,1915,0.0241
Adobe Acrobat Pro DC 15 Paper Capture Plug-in,1914,0.0241
Acrobat Distiller 11.0.9(Windows),1912,0.0241
ABBYY Recognition Server,1904,0.024
KONICA MINOLTA bizhub C220,1902,0.024
Adobe PDF library 7.77,1901,0.024
Mac OS X 10.12.3 Quartz PDFContext,1901,0.024
macOS Version 11.2.1 (Build 20D74) Quartz PDFContext,1899,0.0239
Adobe Acrobat 10.0 Paper Capture Plug-in,1897,0.0239
PDFlib+PDI 9.2.0p5-i (macOS),1887,0.0238
macOS Version 10.14.6 (Build 18G95) Quartz PDFContext,1885,0.0238
Adobe Acrobat 10.1.16 Image Conversion Plug-in,1877,0.0237
Acrobat PDFWriter 4.05 for Windows NT,1858,0.0234
Qt 4.8.4 (C) 2011 Nokia Corporation and/or its subsidiary(-ies),1844,0.0232
Adobe Acrobat 21.5 Image Conversion Plug-in,1838,0.0232
ReportLab PDF Library - www.reportlab.com,1835,0.0231
dompdf 0.8.3 + CPDF,1833,0.0231
Acrobat Distiller 3.01 for Power Macintosh,1827,0.023
KONICA MINOLTA bizhub C454e,1827,0.023
JUST PDF 4,1826,0.023
Adobe Acrobat Pro DC (32-bit) 21.1.20155,1825,0.023
Corel PDF Engine Version 18.1.0.661,1801,0.0227
Acrobat 5.0 Image Conversion Plug-in for Windows,1800,0.0227
Adobe PSL 1.4e for Canon,1799,0.0227
Adobe Acrobat Pro 10.1.16,1798,0.0227
RICOH MP C3003,1797,0.0227
PFU PDF Library 1.4.1,1792,0.0226
OpenOffice.org 3.4.1,1789,0.0226
Corel PDF Engine Version 17.0.0.491,1771,0.0223
Corel PDF Engine Version 1.0.0.458,1770,0.0223
Xerox WorkCentre 7830,1768,0.0223
Adobe Acrobat 8.0 Image Conversion Plug-in,1768,0.0223
Hancom PDF 1.3.0.538,1752,0.0221
PIC,1743,0.022
Acrobat Distiller 9.4.0 (Windows),1740,0.0219
Corel PDF Engine Version 14.0.0.653,1725,0.0217
Acrobat 5.0 Scan Plug-in for Windows,1724,0.0217
Corel PDF Engine Version 16.1.0.843,1724,0.0217
Acrobat Distiller 9.4.2 (Windows),1715,0.0216
Adobe PDF Library 20.13.98,1714,0.0216
Adobe Acrobat Pro 9.0.0,1713,0.0216
KONICA MINOLTA bizhub C280,1709,0.0215
QuarkXPress(tm) 6.5,1708,0.0215
Mac OS X 10.11.5 Quartz PDFContext,1703,0.0215
cairo 1.16.0 (https://cairographics.org),1701,0.0214
iText 2.1.5 (by lowagie.com),1700,0.0214
TCPDF 6.2.17 (http://www.tcpdf.org),1697,0.0214
PoDoFo - http://podofo.sf.net,1693,0.0213
Adobe PDF Library 21.1.181,1693,0.0213
OpenOffice 4.0.1,1691,0.0213
SPDF,1682,0.0212
Skia/PDF m78,1679,0.0212
Creo Normalizer JTP,1679,0.0212
Acrobat Distiller 9.5.5 (Macintosh),1677,0.0211
macOS Version 10.14.6 (Build 18G9028) Quartz PDFContext,1675,0.0211
Corel PDF Engine Version 17.1.0.572,1670,0.0211
PaperPort 14,1668,0.021
一太郎,1658,0.0209
PDFsharp 1.32.2608-g (www.pdfsharp.net),1653,0.0208
Prawn,1634,0.0206
Acrobat Distiller 9.4.6 (Windows),1633,0.0206
Corel PDF Engine Version 3.0.0.576,1629,0.0205
3-Heights(TM) PDF Security Shell 4.8.25.2 (http://www.pdf-tools.com) / pdcat (ww,1627,0.0205
"PDFTron PDFNet, V6.40292",1625,0.0205
Skia/PDF m85,1624,0.0205
Mac OS X 10.9.2 Quartz PDFContext,1623,0.0205
Oracle PDF driver,1617,0.0204
Nuance PDF Create 8,1616,0.0204
ScanSoft PDF Create! 4,1613,0.0203
macOS Version 10.14.3 (Build 18D109) Quartz PDFContext,1607,0.0203
cairo 1.9.5 (http://cairographics.org),1607,0.0203
SOLIDWORKS PDF Publisher,1607,0.0203
Skia/PDF m84,1604,0.0202
ESP Ghostscript 815.02,1603,0.0202
Acrobat Distiller 9.5.2 (Windows),1596,0.0201
madbuild,1595,0.0201
TCPDF 5.9.151 (http://www.tcpdf.org),1592,0.0201
Adobe Acrobat 10.0 Image Conversion Plug-in,1583,0.02
DPE Build 5656,1580,0.0199
Skia/PDF m81,1574,0.0198
ScanSoft PDF Create! 7,1572,0.0198
Mac OS X 10.8.2 Quartz PDFContext,1564,0.0197
Bluebeam Brewery 5.0,1561,0.0197
Acrobat Distiller 10.1.13 (Windows),1561,0.0197
wPDF3 by WPCubed GmbH,1555,0.0196
Adobe Acrobat 6.0 Paper Capture,1551,0.0196
Brother Scanner System Image Conversion,1537,0.0194
KONICA MINOLTA bizhub C368,1532,0.0193
PDFill: Free PDF Writer and Tools,1532,0.0193
KONICA MINOLTA bizhub C284e,1531,0.0193
tFPDF 1.24,1531,0.0193
KONICA MINOLTA bizhub 223,1526,0.0192
Adobe PDF Library 19.10.131,1526,0.0192
Corel PDF Engine Version 19.1.0.419,1524,0.0192
macOS Version 10.14.6 (Build 18G9216) Quartz PDFContext,1524,0.0192
AFPL Ghostscript 8.50,1520,0.0192
Mac OS X 10.10.4 Quartz PDFContext,1520,0.0192
OpenOffice.org 2.0,1517,0.0191
AFPL Ghostscript 8.0,1515,0.0191
Corel PDF Engine Version 15.0.0.486,1498,0.0189
Adobe Acrobat Pro DC 19 Paper Capture Plug-in,1496,0.0189
MiKTeX pdfTeX-1.40.21,1488,0.0188
KONICA MINOLTA bizhub C227,1486,0.0187
Acrobat Distiller 10.1.2 (Windows),1485,0.0187
Mac OS X 10.9.4 Quartz PDFContext,1478,0.0186
Microsoft® Excel® para Microsoft 365,1472,0.0186
Microsoft® Word для Microsoft 365,1471,0.0185
Acrobat Distiller 9.5.1 (Windows),1471,0.0185
