file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
033563.pdf,033,ok,197545,Acrobat Distiller 8.0.0 (Windows),Acrobat PDFMaker 8.0 for Word,2007-11-07,1,134,,False,True,True,0,2,0,2
033566.pdf,033,ok,291039,Acrobat Distiller 5.0.5 (Windows),3B2 Total Publishing System 8.04b/W BETA,2003-10-23,3,66,,False,True,True,0,2,0,2
033568.pdf,033,ok,649012,Antenna House PDF Output Library 2.4.0 (Linux),"XSL Formatter V4.1 MR5 (4,1,2007,0509) for Linux",2008-09-18,2,415,,False,False,True,0,2,0,2
033629.pdf,033,ok,776269,Acrobat Distiller 7.0 (Windows),Arbortext Advanced Print Publisher 9.0.223/W,2007-05-12,2,155,,False,True,True,0,2,0,2
033687.pdf,033,ok,546310,Antenna House PDF Output Library 2.4.0 (Linux),"XSL Formatter V4.1 MR5 (4,1,2007,0509) for Linux",2008-09-18,2,207,,False,False,True,0,2,0,2
033690.pdf,033,ok,239344,Acrobat Distiller 4.05 for Windows,,2001-03-09,1,434,,False,True,True,0,2,0,2
033691.pdf,033,ok,351449,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2.2,2008-03-25,40,200,,False,True,True,0,2,0,2
033692.pdf,033,ok,22114,Acrobat PDFWriter 5.0 for Windows NT,WordPerfect 11 - [U:\ORDERS - TOLEDO\DECISIONS AND JUDGMENTS\01-36776 MOD.wpd],2003-12-31,10,755,,False,True,True,0,2,0,2
033717.pdf,033,ok,51373,JAWS PDFLib,activePDF Server,2006-04-21,31,82,,False,False,True,0,2,0,2
033722.pdf,033,ok,84985,Acrobat Distiller 2.1 for Windows,,1997-02-13,3,172,,False,True,True,0,2,0,2
033728.pdf,033,ok,78826,Acrobat PDFWriter 5.0 for Windows NT,cam07-22.wpd - Microsoft Word,2003-03-18,1,1336,,False,True,True,0,2,0,2
033792.pdf,033,ok,482901,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2.2,2005-10-14,2,188,,False,True,True,0,2,0,2
033794.pdf,033,ok,300759,Acrobat Distiller 3.01 for Power Macintosh,Adobe PageMaker 6.52,2001-06-13,2,288,,False,True,True,0,2,0,2
033796.pdf,033,ok,459655,Acrobat Distiller 2.1 for Windows,,1997-06-26,5,163,,False,True,True,0,2,0,2
033799.pdf,033,ok,127319,Acrobat Distiller 8.0.0 (Windows),Acrobat PDFMaker 8.0 for Word,2008-09-12,4,590,,False,True,True,0,2,0,2
033801.pdf,033,ok,4370270,Acrobat Distiller 7.0.5 for Macintosh,Word: cgpdftops CUPS filter,2006-10-12,1,197,,False,True,True,0,2,0,2
038148.pdf,038,ok,151103,JAWS PDFLib,activePDF Server,2003-08-01,5,2104,,False,False,True,0,2,0,2
038180.pdf,038,ok,189029,JAWS PDFLib,activePDF Server,2003-07-30,10,913,,False,False,True,0,2,0,2
038231.pdf,038,ok,928528,Acrobat Distiller 5.0.5 (Windows),Adobe PageMaker 7.0,2004-05-03,3,48,,False,True,True,0,2,0,2
038248.pdf,038,ok,819135,Acrobat 3.0 Import Plug-in,捁潲慢⁴⸳‰慃瑰牵汐杵椭n,2002-09-16,1,3303,,False,True,True,0,2,0,2
038268.pdf,038,ok,542628,Acrobat Distiller 4.0 for Windows,ADOBEPS4.DRV Version 4.24,1999-11-18,2,47,,False,True,True,0,2,0,2
033814.pdf,033,ok,2697704,Acrobat Distiller 6.0 (Windows),Acrobat PDFMaker 6.0 for Word,2004-11-29,2,335,,False,True,True,0,2,0,2
033816.pdf,033,ok,375925,Acrobat Distiller 3.0 for Power Macintosh,,2002-07-01,2,278,,False,True,True,0,2,0,2
033818.pdf,033,ok,287634,Acrobat Distiller 5.0.5 (Windows),3B2 Total Publishing System 8.07e/W,2004-07-16,2,89,,False,True,True,0,2,0,2
033946.pdf,033,ok,854719,GNU Ghostscript 7.06,PScript5.dll Version 5.2,2006-03-07,1,77,,False,False,True,0,2,0,2
033996.pdf,033,ok,2498497,Acrobat Web Capture 4.0,,2000-08-10,1,2639,,False,True,True,0,2,0,2
038137.pdf,038,ok,425870,,Adobe InDesign CS (3.0.1),2008-01-22,5,111,medical:laboratory report,True,False,True,0,2,0,2
038272.pdf,038,ok,247738,Acrobat Distiller 5.0 (Windows),"""Mim2ps v020215""",2002-06-05,1,4539,,False,True,True,0,2,0,2
038276.pdf,038,ok,342714,Acrobat Distiller 5.0 (Windows),"""Mim2ps v020215""",2002-06-05,1,4539,,False,True,True,0,2,0,2
038307.pdf,038,ok,19824,Acrobat PDFWriter 5.0 for Windows NT,Document2 - Microsoft Word,2004-07-01,1,1379,,False,True,True,0,2,0,2
038310.pdf,038,ok,3558795,Acrobat PDFWriter 5.0 for Windows NT,QuarkXPress (tm) - [WinterQ.qxd],2003-06-18,1,99,,False,True,True,0,2,0,2
038313.pdf,038,ok,84008,Acrobat PDFWriter 4.0 for Windows NT,WordPerfect 9 - [D:\internet\BCP\funeral\Comment A-76 - FAMSA corrected.wpd],1999-09-28,4,135,,False,True,True,0,2,0,2
038316.pdf,038,ok,37849,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2009-01-22,2,51,,False,True,True,0,2,0,2
038321.pdf,038,ok,154273,Acrobat Distiller 4.0 for Windows,Microsoft Word 8.0,2001-12-09,6,1299,,False,True,True,0,2,0,2
033697.pdf,033,ok,49329,Acrobat Distiller 4.0 for Windows,,2004-03-30,3,972,,False,True,True,0,2,0,2
