file,producer,institutional,score_P0_published,score_P1_converter_excl,score_P2_authoring_only,score_P3_author_or_editor
016136.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
016137.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016138.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016139.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016140.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016141.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016142.pdf,"Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>. ",False,0,0,0,0
016143.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016145.pdf,"dvipdfm 0.13.2b, Copyright © 1998, by Mark A. Wicks",False,2,2,2,2
016146.pdf,pdfeTeX-1.21a,False,0,0,0,0
016147.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016148.pdf,Acrobat Distiller 3.01 for Windows,False,0,0,0,0
016149.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016150.pdf,GPL Ghostscript 8.15,False,0,0,0,0
016151.pdf,pdfeTeX-1.21a,False,0,0,0,0
016152.pdf,pdfTeX-1.40.3,False,0,0,0,0
016153.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001989.pdf,Adobe PDF Library 8.0,False,0,0,0,0
001991.pdf,Acrobat PDFWriter 1.0 for Windows,False,0,0,0,0
001994.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001995.pdf,"Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>. ",False,0,0,0,0
016009.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016010.pdf,Acrobat Distiller 4.05 for Macintosh,False,0,0,0,0
016011.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016012.pdf,Acrobat Distiller 4.0 for Windows,False,2,2,2,2
016018.pdf,Acrobat Distiller 6.0.1 for Macintosh,False,0,0,0,0
016019.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,0,0,0,0
016035.pdf,Acrobat Distiller 3.02,False,0,0,0,0
016036.pdf,Acrobat PDFWriter 4.0 for Windows,False,0,0,0,0
016039.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
016044.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016051.pdf,Acrobat Distiller 1.0.2 for Macintosh,False,0,0,0,0
016052.pdf,Acrobat PDFWriter 3.0 for Windows,False,0,0,0,0
016109.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
016110.pdf,Apache FOP Version 0.94,False,0,0,0,0
016111.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016112.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
016154.pdf,AFPL Ghostscript 8.0,False,0,0,0,0
016155.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016175.pdf,Acrobat Distiller 3.01 for Windows,False,0,0,0,0
016182.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016184.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
016188.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016191.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016192.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016214.pdf,Acrobat Distiller 3.02,False,0,0,0,0
016287.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016288.pdf,PDFlib V0.6 (C) Thomas Merz 1997-98,False,0,0,0,0
016291.pdf,Acrobat PDFWriter 2.01 for Windows,False,0,0,0,0
016336.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016337.pdf,www.adlibsys.com:ADLIBPDF20801-W2KA,False,0,0,0,0
016338.pdf,Acrobat Distiller 5.00 for Macintosh,False,0,0,0,0
016339.pdf,Acrobat PDFWriter 3.02 for Windows NT,False,0,0,0,0
016362.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
016387.pdf,IRIS     ,False,0,0,0,0
016424.pdf,Adobe PDF Library 7.0,False,0,0,0,0
016429.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
016113.pdf,dvips + ESP Ghostscript 815.03,False,0,0,0,0
016114.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
016115.pdf,pdfeTeX-1.21a,False,0,0,0,0
016116.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016117.pdf,GNU Ghostscript 7.05,False,0,0,0,0
016118.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
016119.pdf,OmniPage 12 http://www.scansoft.com,False,0,0,0,0
016120.pdf,AFPL Ghostscript 7.0,False,0,0,0,0
016121.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016122.pdf,pdfeTeX-1.20a,False,0,0,0,0
016123.pdf,Acrobat Distiller 2.1 for Windows,False,2,2,2,2
016124.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
016125.pdf,AppendPDF 2.0 for Windows - SPDF 1021,False,0,0,0,0
016126.pdf,OpenOffice.org 2.0,False,0,0,0,0
016127.pdf,Mac OS X 10.4.10 Quartz PDFContext,False,0,0,0,0
016128.pdf,Adobe Acrobat 9.0 Paper Capture Plug-in,False,2,2,2,2
016129.pdf,pdfTeX-1.10b,False,0,0,0,0
016130.pdf,Apogee Series3 Pilot v1.0.1u2,False,2,2,2,2
016131.pdf,US General Accounting Office (GAO),False,0,0,0,0
016132.pdf,PDFlib PLOP 2.0.0p6 (SunOS)/Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016480.pdf,www.adlibsoftware.com:EXS3181-Windows 2003:TNG,False,0,0,0,0
016481.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016482.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016483.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
016484.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016487.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016490.pdf,Acrobat PDFWriter 3.0 for Windows,False,0,0,0,0
016491.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016492.pdf,,False,0,0,0,0
016499.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
016503.pdf,Acrobat 5.0 Scan Plug-in for Windows,False,0,0,0,0
016537.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
